facility_id,name,role,city,country,criticality,revenue_at_risk_usd,hazard_bucket,data_quality,lat,lon
NW-FAC-031,Packaging Plant Node 31,component,Memphis,US,high,58264533.14,flood,incomplete,35.154154087855694,-90.1483277233318
NW-FAC-032,East Coast Distribution Node 32,dc,Newark,US,medium,85159001.09,coastal_flood,incomplete,40.774902178394115,-74.14900749539012
NW-FAC-033,Castings Vendor C Node 33,supplier_t1,Monterrey,MX,high,40147492.51,heat_water,incomplete,25.701708617148338,-100.40213473626879
NW-FAC-034,Primary Assembly — Midwest Node 34,assembly,Chicago,US,high,70849088.82,flood,clean,41.91683740583453,-87.66442968895318
NW-FAC-035,Electronics Final Test Node 35,test,Austin,US,low,81556694.28,heat_grid,incomplete,30.189418444677067,-97.83124056576779
NW-FAC-036,Electronics Final Test Node 36,test,Austin,US,high,99499350.22,heat_grid,clean,30.312157066050116,-97.735543556241
NW-FAC-037,Specialty Metals Supplier A Node 37,supplier_t1,Pittsburgh,US,high,39773811.17,flood,clean,40.35159698885271,-80.0244031168143
NW-FAC-038,Logistics Hub EU Node 38,dc,Rotterdam,NL,high,105068085.52,flood_slr,contradictory,51.85733302155302,4.558933881716272
NW-FAC-039,Battery Cells JV Node 39,supplier_t1,Reno,US,high,95702379.16,drought_wildfire,contradictory,39.43080088895618,-119.77782838710604
NW-FAC-040,Primary Assembly — Midwest Node 40,assembly,Chicago,US,high,48164333.44,flood,clean,41.9782588546476,-87.64862865987917
NW-FAC-041,Tooling Shop Node 41,component,Stuttgart,DE,medium,83319197.88,flood_heat,contradictory,48.83296368791459,9.165563720225649
NW-FAC-042,Rare Earth Intermediate Node 42,supplier_t2,Baotou,CN,medium,56162541.29,water_transition,clean,40.57023372351423,109.79086418699754
NW-FAC-043,West Coast Distribution Node 43,dc,Los Angeles,US,high,102832989.47,wildfire,contradictory,33.97127207051695,-118.16337956810966
NW-FAC-044,Tooling Shop Node 44,component,Stuttgart,DE,critical,141312656.4,flood_heat,incomplete,48.865309045520526,9.243884450334
NW-FAC-045,Injection Molding — Gulf Node 45,component,Houston,US,high,96078587.05,flood_hurricane,contradictory,29.809861749034738,-95.42483897129632
NW-FAC-046,West Coast Distribution Node 46,dc,Los Angeles,US,high,16424135.17,wildfire,incomplete,34.09864417286597,-118.17788423091672
NW-FAC-047,Specialty Metals Supplier A Node 47,supplier_t1,Pittsburgh,US,critical,21983417.62,flood,contradictory,40.513314200807784,-79.91043391155985
NW-FAC-048,PCB Fab Partner Node 48,supplier_t1,Shenzhen,CN,high,119944886.67,flood_typhoon,clean,22.503126937350988,114.1141983373053
NW-FAC-049,Specialty Metals Supplier A Node 49,supplier_t1,Pittsburgh,US,low,6868074.59,flood,incomplete,40.449725053549066,-79.92208255594161
NW-FAC-050,PCB Fab Partner Node 50,supplier_t1,Shenzhen,CN,critical,49484584.98,flood_typhoon,contradictory,22.62169863865147,114.02562237228581
NW-FAC-051,Rare Earth Intermediate Node 51,supplier_t2,Baotou,CN,medium,9216065.59,water_transition,incomplete,40.604827788112175,109.8256241886152
NW-FAC-052,Polymer Resin Supplier B Node 52,supplier_t1,Baton Rouge,US,critical,119458162.8,flood_hurricane,contradictory,30.480992713142857,-91.15698284591879
NW-FAC-053,Logistics Hub EU Node 53,dc,Rotterdam,NL,low,10866028.26,flood_slr,incomplete,51.87590030723166,4.562872663115249
NW-FAC-054,Tooling Shop Node 54,component,Stuttgart,DE,medium,75616686.3,flood_heat,contradictory,48.846973986414525,9.269576473361198
NW-FAC-055,Castings Vendor C Node 55,supplier_t1,Monterrey,MX,critical,126119437.01,heat_water,contradictory,25.715255213625554,-100.36144300807328
NW-FAC-056,Castings Vendor C Node 56,supplier_t1,Monterrey,MX,critical,36913277.81,heat_water,incomplete,25.738397775882795,-100.34471876199832
NW-FAC-057,Primary Assembly — Midwest Node 57,assembly,Chicago,US,medium,45477450.99,flood,incomplete,41.92889501468737,-87.61723385086843
NW-FAC-058,Specialty Metals Supplier A Node 58,supplier_t1,Pittsburgh,US,high,23740486.34,flood,incomplete,40.34560993171382,-80.0128311851927
NW-FAC-059,Injection Molding — Gulf Node 59,component,Houston,US,medium,50590986.29,flood_hurricane,incomplete,29.742248639502517,-95.36389158931621
NW-FAC-060,Primary Assembly — Midwest Node 60,assembly,Chicago,US,high,21303063.82,flood,contradictory,41.92349761369748,-87.63682459232231
